DATA (YYYY-MM-DD),HORA (UTC),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C)
2011-01-01,11:00:00,23.4
2011-01-01,12:00:00,24.5
2011-01-01,13:00:00,26.0
2011-01-01,14:00:00,27.2
2011-01-01,15:00:00,28.2
2011-01-01,16:00:00,29.0
2011-01-01,17:00:00,29.3
2011-01-01,18:00:00,29.7
2011-01-02,11:00:00,23.5
2011-01-02,12:00:00,26.3
2011-01-02,13:00:00,29.0
2011-01-02,14:00:00,30.0
2011-01-02,15:00:00,30.9
2011-01-02,16:00:00,32.2
2011-01-02,17:00:00,31.3
2011-01-02,18:00:00,31.5
2011-01-03,11:00:00,26.4
2011-01-03,12:00:00,28.6
2011-01-03,13:00:00,30.0
2011-01-03,14:00:00,30.9
2011-01-03,15:00:00,31.4
2011-01-03,16:00:00,32.4
2011-01-03,17:00:00,33.1
2011-01-03,18:00:00,33.3
2011-01-04,10:00:00,24.5
2011-01-04,11:00:00,27.2
2011-01-04,12:00:00,28.9
2011-01-04,13:00:00,29.4
2011-01-04,14:00:00,30.3
2011-01-04,15:00:00,32.2
2011-01-04,16:00:00,32.6
2011-01-04,17:00:00,32.5
2011-01-04,18:00:00,26.9
2011-01-05,11:00:00,25.9
2011-01-05,12:00:00,28.1
2011-01-05,13:00:00,30.5
2011-01-05,14:00:00,31.1
2011-01-05,15:00:00,32.0
2011-01-05,16:00:00,32.7
2011-01-05,17:00:00,32.8
2011-01-05,18:00:00,31.8
2011-01-06,11:00:00,27.6
2011-01-06,12:00:00,28.5
2011-01-06,13:00:00,30.0
2011-01-06,14:00:00,31.3
2011-01-06,15:00:00,32.0
2011-01-06,16:00:00,32.0
2011-01-06,17:00:00,30.8
2011-01-07,11:00:00,23.3
2011-01-07,12:00:00,25.5
2011-01-07,13:00:00,27.2
2011-01-07,14:00:00,29.2
2011-01-07,15:00:00,29.6
2011-01-07,16:00:00,29.1
2011-01-07,17:00:00,28.0
2011-01-07,18:00:00,30.1
2011-01-08,11:00:00,22.1
2011-01-08,12:00:00,22.8
2011-01-08,13:00:00,23.1
2011-01-08,14:00:00,25.1
2011-01-08,15:00:00,26.6
2011-01-08,16:00:00,28.6
2011-01-08,17:00:00,27.9
2011-01-08,18:00:00,27.9
2011-01-09,11:00:00,25.7
2011-01-09,12:00:00,27.1
2011-01-09,13:00:00,28.7
2011-01-09,14:00:00,30.2
2011-01-09,15:00:00,31.2
2011-01-09,16:00:00,30.3
2011-01-09,17:00:00,25.6
2011-01-09,18:00:00,24.8
2011-01-10,11:00:00,24.7
2011-01-10,12:00:00,27.2
2011-01-10,13:00:00,26.7
2011-01-10,14:00:00,28.1
2011-01-10,15:00:00,29.4
2011-01-10,16:00:00,28.1
2011-01-10,17:00:00,28.1
2011-01-10,18:00:00,25.4
2011-01-11,11:00:00,26.3
2011-01-11,12:00:00,27.5
2011-01-11,13:00:00,28.9
2011-01-11,14:00:00,29.0
2011-01-11,15:00:00,30.3
2011-01-11,16:00:00,31.4
2011-01-11,17:00:00,32.0
2011-01-11,18:00:00,32.1
2011-01-12,11:00:00,25.7
2011-01-12,12:00:00,26.6
2011-01-12,13:00:00,27.3
2011-01-12,14:00:00,29.2
2011-01-12,15:00:00,30.5
2011-01-12,16:00:00,30.6
2011-01-12,17:00:00,30.9
2011-01-12,18:00:00,30.5
2011-01-13,11:00:00,24.4
2011-01-13,12:00:00,26.2
2011-01-13,13:00:00,29.0
2011-01-13,14:00:00,30.5
2011-01-13,15:00:00,31.3
2011-01-13,16:00:00,31.8
2011-01-13,17:00:00,31.9
2011-01-13,18:00:00,31.9
2011-01-14,11:00:00,24.7
2011-01-14,12:00:00,28.2
2011-01-14,13:00:00,29.1
2011-01-14,14:00:00,30.6
2011-01-14,15:00:00,31.9
2011-01-14,16:00:00,32.6
2011-01-14,17:00:00,32.4
2011-01-14,18:00:00,29.5
2011-01-15,11:00:00,25.9
2011-01-15,12:00:00,28.1
2011-01-15,13:00:00,29.1
2011-01-15,14:00:00,29.5
2011-01-15,15:00:00,31.1
2011-01-15,16:00:00,31.9
2011-01-15,17:00:00,30.7
2011-01-15,18:00:00,28.2
2011-01-16,11:00:00,25.7
2011-01-16,12:00:00,27.9
2011-01-16,13:00:00,28.2
2011-01-16,14:00:00,29.7
2011-01-16,15:00:00,31.2
2011-01-16,16:00:00,32.7
2011-01-16,17:00:00,32.0
2011-01-16,18:00:00,30.5
2011-01-17,11:00:00,24.5
2011-01-17,12:00:00,26.2
2011-01-17,13:00:00,26.3
2011-01-17,14:00:00,26.7
2011-01-17,15:00:00,28.4
2011-01-17,16:00:00,30.0
2011-01-17,17:00:00,30.2
2011-01-17,18:00:00,29.8
2011-01-18,11:00:00,25.5
2011-01-18,12:00:00,28.0
2011-01-18,13:00:00,29.6
2011-01-18,14:00:00,30.4
2011-01-18,15:00:00,31.3
2011-01-18,16:00:00,31.0
2011-01-18,17:00:00,29.3
2011-01-18,18:00:00,24.0
2011-01-19,11:00:00,25.9
2011-01-19,12:00:00,27.3
2011-01-19,13:00:00,29.1
2011-01-19,14:00:00,30.5
2011-01-19,15:00:00,30.0
2011-01-19,16:00:00,28.9
2011-01-19,17:00:00,28.5
2011-01-19,18:00:00,27.3
2011-01-20,11:00:00,22.9
2011-01-20,12:00:00,24.1
2011-01-20,13:00:00,25.8
2011-01-20,14:00:00,27.1
2011-01-20,15:00:00,27.4
2011-01-20,16:00:00,28.2
2011-01-20,17:00:00,28.7
2011-01-20,18:00:00,28.4
2011-01-21,11:00:00,23.8
2011-01-21,12:00:00,24.5
2011-01-21,13:00:00,24.6
2011-01-21,14:00:00,25.6
2011-01-21,15:00:00,26.4
2011-01-21,16:00:00,27.2
